# Source: 19h15m11.558s +10d56m44.905s   fixed_params: abp   flux-scale systematic: 5.0%
# Zero level: dooff=True  fixoffset=False  seeded from map: True
# Flux_Error_Total = sqrt(max(fit_err, local_rms)^2 + (frac*flux)^2)
# Bkg is the annulus median.
# Filename                                 MJD          Flux (Jy)      Fit_Err (Jy)   RMS (Jy/bm)    Err_Total (Jy) Bkg (Jy/bm)
1544268663 58460.48848  0.002587       0.000039       0.000039       0.000135       -0.000013
1563825653 58686.87749  0.066475       0.000080       0.000080       0.003325       -0.000000
1564248236 58691.76787  0.042713       0.000084       0.000084       0.002137       0.000011
1564947058 58699.84784  0.075823       0.000061       0.000061       0.003792       -0.000004
1567871158 58733.71464  0.048460       0.000073       0.000073       0.002424       0.000012
1570901089 58768.77113  0.015546       0.000072       0.000072       0.000781       -0.000000
1583118973 58910.20784  0.008612       0.000077       0.000077       0.000438       0.000019
1585883785 58942.19520  0.122223       0.000100       0.000100       0.006112       -0.000021
1587176616 58957.14388  0.019584       0.000068       0.000068       0.000982       0.000001
1587786356 58964.20119  0.120240       0.000073       0.000073       0.006012       0.000014
1588375604 58971.02015  0.088600       0.000081       0.000081       0.004431       0.000031
1588992355 58978.17369  0.042460       0.000061       0.000061       0.002124       -0.000008
1589683557 58986.17374  0.119295       0.000079       0.000079       0.005965       0.000022
1590189641 58992.02051  0.002223       0.000406       0.000406       0.000420       -0.000009
1590975056 59001.10969  0.017071       0.000059       0.000059       0.000856       0.000007
1591585260 59008.15649  0.023737       0.000085       0.000085       0.001190       -0.000008
1592167259 59014.90659  0.034937       0.000077       0.000077       0.001749       -0.000001
1592527255 59019.07293  0.034336       0.000078       0.000078       0.001719       0.000002
1593213962 59027.02241  0.035493       0.000070       0.000070       0.001776       0.000027
1593890159 59034.84606  0.032865       0.000065       0.000065       0.001645       -0.000007
1594580523 59042.83638  0.073529       0.000072       0.000072       0.003677       0.000030
1595185558 59049.83958  0.643564       0.000164       0.000164       0.032179       -0.000025
1595623962 59054.91434  0.236436       0.000076       0.000076       0.011822       0.000029
1596300367 59062.72951  0.255891       0.000137       0.000137       0.012795       0.000006
1596904261 59069.71912  0.587048       0.000215       0.000215       0.029353       0.000016
1597515368 59076.79288  0.080969       0.000074       0.000074       0.004049       0.000008
1598130064 59083.90633  0.045611       0.000062       0.000062       0.002281       0.000012
1598801721 59091.70757  0.012230       0.000077       0.000077       0.000616       -0.000008
1599251463 59096.88619  0.011599       0.000080       0.000080       0.000585       0.000002
1599928833 59104.72679  0.011445       0.000065       0.000065       0.000576       0.000010
1600623068 59112.76163  0.007506       0.000055       0.000055       0.000379       0.000019
